"","timestamp_fixed","cat","altitude_ft","altitude_m","cap","external_adc","humid","lat","lng","long","oxid_gas","prec_gas","pressure","reduc_gas","speed","t_amb","t_ext","t_int","t_ired","temp_ired","volt","timestamp_offset"
"2","2016-04-16 13:10:51","HAB_3",468.996078,NA,2625,1.528,32.6,38.50567,-89.622,-89.622,12036,-5.3,80776,200890,NA,71.4,NA,NA,33.2,NA,NA,0
"6","2016-04-16 13:11:51","HAB_3",1497.998736,NA,2610,1.546,30.1,38.50317,-89.61717,-89.61717,12521,-5,77356,212816,30,67.4,NA,NA,14.7,NA,NA,60
"9","2016-04-16 13:12:51","HAB_3",2383.989578,NA,2594,1.573,28,38.50133,-89.61217,-89.61217,13730,-4.6,74096,218577,29,65.4,NA,NA,6.4,NA,NA,120
"12","2016-04-16 13:13:51","HAB_3",3450.984362,NA,2578,1.531,30.3,38.49967,-89.6065,-89.6065,14286,-4.7,71248,227368,32,61.9,NA,NA,47.4,NA,NA,180
"19","2016-04-16 13:14:51","HAB_3",4520.99752,NA,2563,1.578,32,38.4965,-89.5985,-89.5985,15038,-4.3,68436,245935,47,59,NA,NA,-4.5,NA,NA,240
"22","2016-04-16 13:15:51","HAB_3",5583.98968,NA,2547,1.564,28.2,38.49317,-89.59067,-89.59067,16030,-4.3,65876,258008,47,56,NA,NA,12.2,NA,NA,300
"26","2016-04-16 13:16:51","HAB_3",6668.012024,NA,2547,1.555,21.8,38.49167,-89.584,-89.584,17991,-4.4,63416,263872,36,53.8,NA,NA,-8.5,NA,NA,360
"30","2016-04-16 13:17:51","HAB_3",7679.00287,NA,2531,1.568,19.9,38.49067,-89.57617,-89.57617,19838,-4.2,61148,246417,41,52.1,NA,NA,3.2,NA,NA,420
"34","2016-04-16 13:18:51","HAB_3",8747.998968,NA,2531,1.515,18.5,38.48833,-89.56967,-89.56967,20231,-4.2,58648,244974,37,50.4,NA,NA,16.7,NA,NA,480
"40","2016-04-16 13:19:51","HAB_3",9899.016065,NA,2531,1.556,16.1,38.48617,-89.56333,-89.56333,21375,-4.2,56124,242586,36,48.2,NA,NA,0.5,NA,NA,540
"46","2016-04-16 13:20:51","HAB_3",11060.99117,NA,2578,1.451,16.1,38.48283,-89.5565,-89.5565,22589,-3.7,54092,232568,42,46.5,NA,NA,-11.7,NA,NA,600
"50","2016-04-16 13:21:51","HAB_3",12250.98464,NA,2578,1.513,15.8,38.47967,-89.54933,-89.54933,23132,-3.9,51924,239281,43,44.4,NA,NA,-7.9,NA,NA,660
"55","2016-04-16 13:22:51","HAB_3",13454.00306,NA,2594,1.56,14.7,38.475,-89.54167,-89.54167,24289,-3.9,49992,242112,51,42.1,NA,NA,34.7,NA,NA,720
"60","2016-04-16 13:23:51","HAB_3",14699.01622,NA,2610,1.56,13.4,38.46933,-89.53483,-89.53483,26350,-3.8,48036,238344,52,39.3,NA,NA,30.2,NA,NA,780
"64","2016-04-16 13:24:51","HAB_3",15856.00444,NA,2625,1.473,12.8,38.46183,-89.52783,-89.52783,28651,-3.8,46236,242112,62,37,NA,NA,1.2,NA,NA,840
"71","2016-04-16 13:26:51","HAB_3",18050.98483,NA,2641,1.587,11.7,38.44983,-89.50817,-89.50817,32176,-3.2,43072,250796,65,32.3,NA,NA,-9.8,NA,NA,960
"75","2016-04-16 13:27:51","HAB_3",19158.00586,NA,2656,1.567,11.3,38.44617,-89.499,-89.499,33762,-3.2,41552,247868,54,30.8,NA,NA,-31.8,NA,NA,1020
"80","2016-04-16 13:28:51","HAB_3",20258.0059,NA,2672,1.373,11.1,38.44333,-89.489,-89.489,34990,-3.4,40136,252765,56,28.4,NA,NA,-77.6,NA,NA,1080
"95","2016-04-16 13:33:51","HAB_3",24695.99817,NA,2703,1.335,10.6,38.42533,-89.448,-89.448,49315,-3,33048,283101,NA,14.6,NA,NA,-29,NA,NA,1380
"99","2016-04-16 13:34:51","HAB_3",25847.99951,NA,2703,1.399,10.4,38.41967,-89.43783,-89.43783,54052,-3.3,31920,289822,NA,12.3,NA,NA,-171.4,NA,NA,1440
"110","2016-04-16 13:36:51","HAB_3",29125.00093,NA,2703,1.316,10.2,38.3955,-89.41117,-89.41117,64357,-2.9,29540,301690,73,5.9,NA,NA,-124.9,NA,NA,1560
"116","2016-04-16 13:39:51","HAB_3",30147.0154,NA,2703,1.507,9.8,38.3865,-89.401,-89.401,83250,-3.3,25940,315619,NA,-2.2,NA,NA,-96.1,NA,NA,1740
"126","2016-04-16 13:40:51","HAB_3",33193.99713,NA,2703,1.224,9.8,38.3595,-89.375,-89.375,87149,-3,25036,318111,193,-4.2,NA,NA,7.8,NA,NA,1800
"131","2016-04-16 13:41:51","HAB_3",34168.0129,NA,2703,1.078,9.8,38.35,-89.36833,-89.36833,92842,-2.7,23976,325716,72,-6.2,NA,NA,-140.1,NA,NA,1860
"136","2016-04-16 13:42:51","HAB_3",35166.01162,NA,2719,1.054,9.7,38.34183,-89.36067,-89.36067,98445,-2.8,22900,329593,68,-8.7,NA,NA,-117.3,NA,NA,1920
"140","2016-04-16 13:44:51","HAB_3",36187.99328,NA,2719,0.951,10.2,38.33367,-89.35033,-89.35033,102441,-2.9,21320,332534,NA,-10.2,NA,NA,-84.7,NA,NA,2040
"149","2016-04-16 13:45:51","HAB_3",38393.01304,NA,2719,1.292,10.1,38.32567,-89.3285,-89.3285,104850,-2.8,20472,340856,58,-11.8,NA,NA,-139.7,NA,NA,2100
"158","2016-04-16 13:47:51","HAB_3",40614.01049,NA,2735,1.345,10,38.32367,-89.30283,-89.30283,113625,-2.9,18944,343227,67,-15.3,NA,NA,-173.3,NA,NA,2220
"164","2016-04-16 13:48:51","HAB_3",41497.01576,NA,2719,1.071,10,38.3245,-89.28483,-89.28483,120292,-2.3,18188,342888,94,-17.4,NA,NA,-185.6,NA,NA,2280
"172","2016-04-16 13:50:51","HAB_3",43341.99614,NA,2735,1.189,9.9,38.32133,-89.25017,-89.25017,206725,-2.7,16772,382300,91,-20.3,NA,NA,-169.8,NA,NA,2400
"182","2016-04-16 13:53:51","HAB_3",45520.01458,NA,2735,1.06,9.7,38.31433,-89.22267,-89.22267,880902,-2.3,15052,491991,NA,-21,NA,NA,-167.5,NA,NA,2580
"188","2016-04-16 13:54:51","HAB_3",46687.00937,NA,2750,1.206,9.7,38.31233,-89.2125,-89.2125,859500,-2.3,14520,498346,NA,-21.1,NA,NA,-175.8,NA,NA,2640
"204","2016-04-16 13:57:51","HAB_3",50714.01081,NA,2750,1.029,9.6,38.3055,-89.1735,-89.1735,2088000,-2.8,12932,578541,52,-19.5,NA,NA,-141.5,NA,NA,2820
"208","2016-04-16 13:58:51","HAB_3",51656.00559,NA,2766,1.06,9.6,38.30467,-89.16433,-89.16433,1872000,-2.7,12472,565083,48,-18.6,NA,NA,-155.2,NA,NA,2880
"220","2016-04-16 14:01:51","HAB_3",54400.98599,NA,2781,1.127,9.5,38.3005,-89.13883,-89.13883,964800,-2.8,11192,485741,44,-15.1,NA,NA,-136.3,NA,NA,3060
"225","2016-04-16 14:03:51","HAB_3",55374.01752,NA,2797,1.045,9.4,38.29867,-89.13367,-89.13367,1456200,-2.4,10424,508078,19,-13.9,NA,NA,-118.4,NA,NA,3180
"234","2016-04-16 14:04:51","HAB_3",57470.99921,NA,2813,1.116,9.4,38.29767,-89.12333,-89.12333,1737000,-2.8,10028,518061,41,-12.9,NA,NA,-143,NA,NA,3240
"238","2016-04-16 14:05:51","HAB_3",58441.99662,NA,2813,1.138,9.3,38.30017,-89.1175,-89.1175,2029500,-2.5,9644,532941,35,-12,NA,NA,-152.3,NA,NA,3300
"243","2016-04-16 14:06:51","HAB_3",59310.00846,NA,2828,1.138,9.3,38.3,-89.11167,-89.11167,1619999,-2.5,9272,532941,31,-11.3,NA,NA,-159,NA,NA,3360
"246","2016-04-16 14:08:51","HAB_3",60216.01243,NA,2844,1.132,9.2,38.3005,-89.105,-89.105,1298250,-2.8,8580,484195,NA,-9.7,NA,NA,-180.4,NA,NA,3480
"251","2016-04-16 14:09:51","HAB_3",61164.01114,NA,2844,1.136,9.2,38.30033,-89.09883,-89.09883,2439000,-2.7,8244,523149,NA,-8.8,NA,NA,-156.7,NA,NA,3540
"260","2016-04-16 14:11:51","HAB_3",63387.99415,NA,2875,1.078,9.3,38.2985,-89.097,-89.097,2817000,-3.1,7644,583783,NA,-6.3,NA,NA,-105.3,NA,NA,3660
"269","2016-04-16 14:13:51","HAB_3",65468.99816,NA,2891,1.152,9.2,38.29967,-89.09683,-89.09683,2817000,-2.9,7068,588423,NA,-4.6,NA,NA,-97,NA,NA,3780
"275","2016-04-16 14:14:51","HAB_3",66470.01525,NA,2891,1.12,9.2,38.29983,-89.096,-89.096,4896000,-2.9,6780,612402,NA,-3.9,NA,NA,-143.6,NA,NA,3840
"277","2016-04-16 14:15:51","HAB_3",67549.01791,NA,2906,1.129,9.2,38.29883,-89.09867,-89.09867,3667499,-2.6,6496,620217,NA,-3,NA,NA,-144.7,NA,NA,3900
"287","2016-04-16 14:17:51","HAB_3",69608.99173,NA,2922,1.116,9.2,38.30133,-89.10317,-89.10317,7352999,-3.1,5984,692271,NA,-1,NA,NA,-107.4,NA,NA,4020
"292","2016-04-16 14:18:51","HAB_3",71637.01017,NA,2938,1.302,9.1,38.30117,-89.11067,-89.11067,12267000,-3.3,5756,698169,31,0,NA,NA,-183.8,NA,NA,4080
"299","2016-04-16 14:19:51","HAB_3",72675.00233,NA,2938,1.154,9.2,38.302,-89.11517,-89.11517,10512000,-3,5536,688102,24,1.3,NA,NA,-107.2,NA,NA,4140
"302","2016-04-16 14:20:51","HAB_3",73706.0063,NA,2953,1.368,9.2,38.30233,-89.11817,-89.11817,4896000,-3.4,5312,632571,16,2.8,NA,NA,-106.4,NA,NA,4200
"308","2016-04-16 14:21:51","HAB_3",74704.98927,NA,2953,1.394,9.2,38.303,-89.12267,-89.12267,4896000,-3.3,5092,553268,24,4.5,NA,NA,-118.4,NA,NA,4260
"312","2016-04-16 14:23:51","HAB_3",75733.00767,NA,2985,1.434,9.2,38.30117,-89.12767,-89.12767,3332454,-3.2,4700,538223,NA,7.5,NA,NA,-123.1,NA,NA,4380
"321","2016-04-16 14:24:51","HAB_3",77952.00381,NA,3000,1.472,9.2,38.30017,-89.13767,-89.13767,8172000,-3.2,4504,564452,27,8.8,NA,NA,-101.3,NA,NA,4440
"324","2016-04-16 14:25:51","HAB_3",79031.99072,NA,3000,1.253,9.2,38.298,-89.1445,-89.1445,5247000,-3.1,4340,608197,39,10.4,NA,NA,-125.5,NA,NA,4500
"331","2016-04-16 14:27:51","HAB_3",80073.00125,NA,3031,1.448,9.4,38.29867,-89.15167,-89.15167,6682909,-4,4000,642252,NA,13.9,NA,NA,-98.5,NA,NA,4620
"342","2016-04-16 14:29:51","HAB_3",83412.01054,NA,3047,1.435,9.4,38.296,-89.174,-89.174,7352999,-4.4,3700,746222,40,16.3,NA,NA,-95.1,NA,NA,4740
