"","timestamp_fixed","cat","altitude_ft","altitude_m","cap","external_adc","humid","lat","lng","long","oxid_gas","prec_gas","pressure","reduc_gas","speed","t_amb","t_ext","t_int","t_ired","temp_ired","volt","timestamp_offset"
"347","2016-04-16 14:31:51","HAB_3",84583.00796,NA,3078,1.448,9.4,38.29633,-89.18133,-89.18133,9195750,-4.6,3396,706722,NA,18.4,NA,NA,-98.3,NA,NA,4860
"355","2016-04-16 14:32:51","HAB_3",86798.00147,NA,3078,1.429,9.4,38.30033,-89.19667,-89.19667,5652000,-4.8,3264,676618,NA,20.2,NA,NA,-81,NA,NA,4920
"360","2016-04-16 14:34:51","HAB_3",87929.98969,NA,3110,1.434,9.3,38.30083,-89.201,-89.201,4896000,-5.1,3028,609594,NA,23.2,NA,NA,-102.7,NA,NA,5040
"367","2016-04-16 14:36:51","HAB_3",89031.00679,NA,3125,1.407,9.4,38.3,-89.207,-89.207,4896000,-5,2760,511378,NA,26.7,NA,NA,-60.9,NA,NA,5160
"373","2016-04-16 14:37:51","HAB_3",91268.01473,NA,3141,1.416,9.3,38.3,-89.21933,-89.21933,3332454,-5.4,2648,449824,NA,27.5,NA,NA,-80.6,NA,NA,5220
"376","2016-04-16 14:38:51","HAB_3",92427.00427,NA,3157,1.429,9.4,38.30067,-89.22483,-89.22483,2930400,-5.3,2540,405825,NA,29,NA,NA,-89,NA,NA,5280
"379","2016-04-16 14:39:51","HAB_3",93539.99643,NA,3172,1.434,9.4,38.30117,-89.22967,-89.22967,4588875,-5.3,2432,361439,16,30.5,NA,NA,-69.1,NA,NA,5340
"385","2016-04-16 14:41:51","HAB_3",95962.01094,NA,3203,1.414,9.4,38.30017,-89.241,-89.241,2817000,-5.9,2232,238344,NA,34.2,NA,NA,-83.4,NA,NA,5460
"391","2016-04-16 14:42:51","HAB_3",98483.0084,NA,3219,1.417,9.6,38.302,-89.25617,-89.25617,2149941,-5.8,2156,189347,76,35.9,NA,NA,-86.5,NA,NA,5520
"395","2016-04-16 14:44:51","HAB_3",99716.99794,NA,3297,1.396,9.6,38.3005,-89.264,-89.264,1210500,-6,2000,94299,NA,39.2,NA,NA,-136,NA,NA,5640
"403","2016-04-16 14:48:51","HAB_3",102941.998,NA,3375,1.368,9.8,38.3015,-89.2895,-89.2895,562393,-6.5,1700,52911,NA,45.8,NA,NA,-124.3,NA,NA,5880
"409","2016-04-16 14:50:51","HAB_3",105456.9916,NA,3375,1.396,9.9,38.30333,-89.30867,-89.30867,346901,-6.5,1560,51409,NA,49.2,NA,NA,-68,NA,NA,6000
"413","2016-04-16 14:51:51","HAB_3",106631.9916,NA,3375,1.386,10,38.307,-89.31683,-89.31683,178560,-6.6,1500,53006,NA,50.7,NA,NA,-76.3,NA,NA,6060
