"","timestamp_fixed","cat","altitude_ft","altitude_m","cap","external_adc","humid","lat","lng","long","oxid_gas","prec_gas","pressure","reduc_gas","speed","t_amb","t_ext","t_int","t_ired","temp_ired","volt","timestamp_offset"
"5","2015-03-14 18:20:30","HAB_0",1014,309.07,2688,NA,40.2,38.5045,-89.6215,NA,6151,-4.8,99184,131470,20,28.7777777778,14,30,NA,29.1666666667,8185,0
"7","2015-03-14 18:21:00","HAB_0",1961,597.71,2656,NA,39,38.50167,-89.62167,NA,6407,-5,95896,133080,30,27.4444444444,12,28,NA,26.5,8185,30
"10","2015-03-14 18:21:30","HAB_0",2544,775.41,2656,NA,39,38.49933,-89.62233,NA,6407,-5,95896,133080,31,27.4444444444,12,26,NA,26.5,8185,60
"11","2015-03-14 18:22:00","HAB_0",3009,917.14,2641,NA,36.3,38.49683,-89.623,NA,7028,-4.8,92356,147857,30,25.5555555556,12,26,NA,24.3333333333,8185,90
"13","2015-03-14 18:22:30","HAB_0",3482,1061.31,2641,NA,36.3,38.4945,-89.62417,NA,7028,-4.8,92356,147857,31,25.5555555556,11,25,NA,24.3333333333,8185,120
"16","2015-03-14 18:23:00","HAB_0",3941,1201.22,2625,NA,34.9,38.492,-89.62483,NA,7408,-4.6,89108,151681,37,23.8888888889,11,24,NA,22.8888888889,8185,150
"18","2015-03-14 18:23:30","HAB_0",4389,1337.77,2625,NA,34.9,38.4895,-89.62483,NA,7408,-4.6,89108,151681,35,23.8888888889,11,24,NA,22.8888888889,8185,180
"20","2015-03-14 18:24:00","HAB_0",4822,1469.75,2610,NA,31,38.4865,-89.62467,NA,8082,-4.5,86132,155577,30,22.5555555556,11,24,NA,21.6666666667,8185,210
"21","2015-03-14 18:24:30","HAB_0",5342,1628.24,2610,NA,31,38.484,-89.62467,NA,8082,-4.5,86132,155577,39,22.5555555556,11,23,NA,21.6666666667,8185,240
"23","2015-03-14 18:25:00","HAB_0",5871,1789.48,2610,NA,27.9,38.48183,-89.62467,NA,8667,-4.4,82948,157552,26,21.3888888889,10,22,NA,20.6111111111,8165,270
"25","2015-03-14 18:25:30","HAB_0",6324,1927.56,2610,NA,27.9,38.47933,-89.62483,NA,8667,-4.4,82948,157552,24,21.3888888889,10,22,NA,20.6111111111,8165,300
"27","2015-03-14 18:26:00","HAB_0",6727,2050.39,2594,NA,24.6,38.47767,-89.62533,NA,9089,-3.9,80196,146283,24,20.2222222222,11,21,NA,19.9444444444,8165,330
"29","2015-03-14 18:26:30","HAB_0",7256,2211.63,2594,NA,24.6,38.47533,-89.62683,NA,9089,-3.9,80196,146283,37,20.2222222222,11,21,NA,19.9444444444,8165,360
"31","2015-03-14 18:27:00","HAB_0",7722,2353.67,2578,NA,19.1,38.4725,-89.629,NA,9752,-4.2,77260,147699,44,19.3888888889,11,21,NA,19.3333333333,8165,390
"32","2015-03-14 18:27:30","HAB_0",8103,2469.79,2578,NA,19.1,38.47,-89.6315,NA,9752,-4.2,77260,147699,37,19.3888888889,10,21,NA,19.3333333333,8165,420
"33","2015-03-14 18:28:00","HAB_0",8474,2582.8,2578,NA,17.4,38.46683,-89.63417,NA,10306,-4.2,75152,131908,43,18.6666666667,9,20,NA,18.6111111111,8165,450
"35","2015-03-14 18:28:30","HAB_0",8849,2697.1,2578,NA,17.4,38.46383,-89.6365,NA,10306,-4.2,75152,131908,56,18.6666666667,8,20,NA,18.6111111111,8165,480
